当前月份类别,智能手机,婴儿用品,儿童课外读物,模型,玩具,蔬菜,耳机,健身器材,游戏机,益智玩具,水果,零食,平板电脑,调味品,水产,肉类,卫浴用品,家具,车载电子,厨具,米面,饮料,裤子,笔记本电脑,户外装备,智能手表,外套,办公用品,汽车装饰,文具,裙子,帽子,床上用品,音响,蛋奶,围巾,鞋子,上衣,摄像机,内衣,手套,相机
相机,8141155636700,7720487879825,7817269351162,8502332035754,7456066986303,7522342485324,7979728725159,7884846999798,7947753466230,7919488673019,8240307284873,8049025410597,7687911122572,7202003353859,7299872950871,7688646281344,8273508539897,7658057620119,7687113700390,7395474875453,7558989681972,8170444065142,7948141676734,7884451439887,7427198441114,7850390876631,7785093281291,7333519467825,7397307530360,8437319646835,8072804721661,7693017585756,7463032262896,7035392874711,7461252638792,8465891167210,7037881587237,7363063017892,6906703416365,7815759195517,7527415561408,7687036750432
婴儿用品,8176886363093,7754377042292,7851580697334,8539653337755,7488792824153,7555361130122,8014755122902,7919455147935,7982639195007,7954243188944,8276474959156,8084355331537,7721660729734,7233613067261,7331918107561,7722396360504,8309818160358,7691674345303,7720853444144,7427934723591,7592162641301,8206306752615,7983029674228,7919058093415,7459800318060,7884848426822,7819269276073,7365712867215,7429777857487,8474354163071,8108245089822,7726784192439,7495788489991,7066270206417,7494001376296,8503053860936,7068772832663,7395381133639,6937019790112,7850059106763,7560451929963,7720779049574
文具,8936249386947,8474509148852,8580737988932,9332714482732,8184258870616,8257015933040,8759063036912,8654907230429,8723972091811,8692927703257,9045088816912,8835129156425,8438746355184,7905386307838,8012812304008,8439550841516,9081537845842,8405980644533,8437862450710,8117747831656,8297230267058,8968403869425,8724392519962,8654487613771,8152568755072,8617093615211,8545422872611,8049745881396,8119762474005,9261341674878,8861235555722,8444350682843,8191906350442,7722496126785,8189952764707,9292708688522,7725233104294,8082175562462,7581244628006,8579071542102,8262572237937,8437785543465
益智玩具,8387902247801,7954492555908,8054205738482,8760034612159,7682053365255,7750343315832,8221588344371,8123828819206,8188644360244,8159517057694,8490061678385,8292985036376,7920929042606,7420299353258,7521129694582,7921687490594,8524273269298,7890166192385,7920092216165,7619622084525,7788101567335,8418080933131,8189045243498,8123419127399,7652307556377,8088330398234,8021059073784,7555800422494,7621513117651,8693050375465,8317489234753,7926186200496,7689233908068,7248628906264,7687393821984,8722485046267,7251199443728,7586233156375,7116043932294,8052642745632,7755561771555,7920021860595
手套,7972365383386,7560415681115,7655191268528,8326051104595,7301479063126,7366379437185,7814282478773,7721374862998,7782966013480,7755296735730,8069460668365,7882142475693,7528512962726,7052679408768,7148524393409,7529242654098,8101967165272,7499281983358,7527736662308,7242138962562,7402270845029,8001039159683,7783351307003,7720977444028,7273210828381,7687624309303,7623681777161,7181477737149,7243937812333,8262389918918,7905429790043,7533513253663,7308299773324,6889526682726,7306558855926,8290360828215,6891964645802,7210403916054,6763508872654,7653713522411,7371347489219,7527657775359
米面,8006101006239,7592418354869,7687589728478,8361293519771,7332379300016,7397558063145,7847356004000,7754046634395,7815906353144,7788113344640,8103613693591,7915499608063,7560377980421,7082538708661,7178778911180,7561100951298,8136257041123,7531025740956,7559582445684,7272796936707,7433594858937,8034902766841,7816292126613,7753659582426,7303988359009,7720162012216,7655948909324,7211869283740,7274594568252,8297358010718,7938891458703,7565401315243,7339228588919,6918683398706,7337477331874,8325454276130,6921132056246,7240922812405,6792133127929,7686103150381,7402544551064,7559520212080
耳机,8451436661678,8014743789572,8115208890337,8826384753371,7740240289031,7809047320910,8283861076384,8185359754211,8250670561311,8221317946890,8554369791754,8355800907430,7980923520328,7476495550517,7578096512499,7981684162611,8588837288447,7949933373710,7980088251165,7677338576907,7847083700929,8481846443053,8251071078608,8184954712095,7710273473998,8149593011005,8081809473687,7613026139673,7679243859201,8758889055747,8380489496191,7986223803863,7747471735419,7303531098628,7745624871700,8788556097836,7306117459893,7643692774738,7169939731836,8113636380828,7814307817430,7980014748529
调味品,7627584409212,7233455805558,7324121675971,7965980166112,6985713153700,7047806283549,7476340862217,7387444456828,7446375992149,7419894171258,7720480348308,7541261158764,7202926383956,6747677015932,6839375401278,7203621575584,7751582332035,7174964854574,7202187557641,6928945521609,7082137947944,7655016248350,7446744041031,7387076451117,6958663779362,7355158639345,7293984739283,6870898535773,6930664985538,7905070098539,7563548712057,7207715632779,6992238824112,6591579127698,6990575662513,7931835019957,6593906172164,6898582232014,6471006613046,7322716168751,7052556948044,7202111624134
床上用品,7904454103052,7496023228644,7589988477400,8255136662027,7239287909650,7303642029264,7747725806270,7655600825837,7716679366346,7689230628461,8000725312200,7815006740250,7464390710850,6992614115892,7087639399144,7465109643479,8032961328134,7435408422998,7463612011004,7180456506837,7339217016886,7932892440861,7717055509004,7655218689312,7211257574646,7622142878643,7558752351054,7120310781002,7182236436076,8192014015630,7838103648451,7469350849032,7246049102231,6830843050667,7244326290250,8219752903411,6833261312223,7148988881729,6705898783083,7588517004988,7308558167318,7463544168095
蔬菜,7967243862368,7555572052584,7650284032265,8320712887588,7296796266673,7361660076590,7809275368940,7716416886789,7777978896274,7750314663390,8064280900850,7877088541482,7523691968838,7048162401827,7143945111037,7524412537004,8096773697174,7494472105737,7522900112372,7237500364751,7397516721223,7995914398274,7778360981802,7716027829794,7268541547840,7682695349103,7618800729550,7176872106981,7239294259994,8257094432656,7900369548737,7528688761331,7303612553379,6885108067668,7301868673037,8285053791258,6887547658854,7205776883621,6759169632130,7648798511428,7366611696913,7522831995507
水产,7731409412486,7331920933432,7423828982563,8074416318498,7080805607005,7143750206245,7578113086446,7488002500457,7547748755694,7520896541588,7825573508270,7643922308327,7300986367697,6839530651956,6932476612062,7301679633460,7857104658869,7272632334797,7300221192827,7023264389123,7178545788154,7759229318341,7548117158042,7487632247255,7053390027642,7455284817582,7393277570239,6964429476185,7025003630565,8012671920404,7666510888572,7305830067155,7087419482876,6681301602444,7085731245923,8039810778997,6683668142637,6992482401447,6559093251857,7422387472977,7148559355805,7300154428612
汽车装饰,7834706156000,7429881248283,7523019687123,8182297442781,7175409890936,7239195865811,7679362329062,7588047492671,7648595697273,7621380689969,7930130007986,7746053845617,7398536797355,6930909137412,7025099096534,7399235914254,7962079202055,7369802346730,7397754491434,7117097448942,7274454456123,7862901422283,7648964927317,7587671445147,7147632117549,7554891975917,7492056569455,7057481720353,7118863066290,8119724825233,7768941032003,7403442431791,7182111834919,6770564810405,7180399602965,8147227321539,6772966347021,7085905797688,6646727080140,7521554086142,7244071834810,7397690045496
摄像机,7315421327776,6937425611968,7024394097053,7639971938879,6699822871421,6759382081573,7170371891440,7085110495179,7141641585203,7116237750114,7404519920390,7232636027760,6908150683796,6471533527733,6559473561230,6908816344037,7434355925204,6881330422615,6907428751841,6645375917141,6792304576655,7341742551842,7141989128461,7084759867626,6673878622069,7054151305514,6995483386627,6589708264146,6647020888216,7581553052717,7254013388625,6912741502570,6706083463648,6321814617949,6704482658297,7607224202367,6324055788205,6616254219499,6206182499091,7023028565799,6763931259425,6907365606639
裙子,8549933838233,8108151428374,8209789716583,8929253586473,7830451363639,7900059203502,8380408373785,8280757859280,8346828483940,8317134857199,8654065915029,8453183987613,8073940633485,7563630473311,7666418515670,8074709275712,8688938000218,8042583822952,8073097976446,7766818168176,7938538281836,8580699559575,8347236777893,8280347586820,7800131308545,8244576368048,8176003997751,7701751893522,7768742982328,8860975233137,8478163595911,8079298780561,7837766418208,7388653154329,7835897639102,8890985946940,7391269889991,7732776085644,7253504433980,8208196740786,7905375013733,8073019626519
帽子,8147578990114,7726587951776,7823435826755,8509046722007,7461953179212,7528284227109,7986029644192,7891071955297,7954028801403,7925732516402,8246809304929,8055385086595,7693986258634,7207685769847,7305641767561,7694718575281,8280035630789,7664103418922,7693181221379,7401311331238,7564955065985,8176894049759,7954418606302,7890674661750,7433065939988,7856587820527,7791241657405,7339315907685,7403154294755,8443979821967,8079183971551,7699090573838,7468924453549,7040945925634,7467143886681,8472579223522,7043439044181,7368875101730,6912157281982,7821922270584,7533353679718,7693105429497
音响,7451106236622,7066101502318,7154676167910,7781681703060,6824090683209,6884750237140,7303368265776,7216523408062,7274103290545,7248224835278,7541856614482,7366792554377,7036287887701,6591564027374,6681136833071,7036954210082,7572243313577,7008960358793,7035548054050,6768635228643,6918288020112,7477913907552,7274455840059,7216167408806,6797667343426,7184990181728,7125230419548,6711934145549,6770312421304,7722173874199,7388557583078,7040956600794,6830463419224,6439070147114,6828836433642,7748322328260,6441349486175,6738971539222,6321292799695,7153290199060,6889388400534,7035485067608
裤子,8418097364787,7983123150851,8083197057472,8791563504892,7709705488594,7778239814232,8251183021526,8153071356099,8218119541087,8188889029638,8520623380961,8322834430610,7949438081186,7447005832268,7548201977309,7950200426735,8554956062053,7918570067721,7948608310374,7647053143653,7816129838908,8448384698491,8218520554991,8152663770088,7679853490237,8117442705551,8049931210850,7582994414614,7648944781650,8724340883603,8347431604716,7954719559243,7716907120582,7274721062628,7715069665731,8753884903239,7277295553626,7613538432534,7141654976256,8081631308182,7783479887173,7948535963173
外套,8245225013362,7819184571427,7917196963044,8611021866116,7551381601276,7618510610214,8081736701533,7985640024472,8049353401594,8020720560802,8345644238980,8151919304575,7786183487561,7294071221464,7393193436084,7786933938117,8379273903101,7755955456187,7785382081227,7490015626701,7655618430534,8274887543350,8049745848937,7985247166920,7522142225892,7950741774087,7884614714660,7427269529599,7491870973586,8545176187853,8176010302456,7791361467782,7558433615304,7125330183291,7556641238313,8574116908423,7127848088637,7457189418310,6994994978915,7915667564951,7623638824149,7785306293097
模型,9005296420178,8539980493883,8647037183969,9404813630465,8247491067378,8320807195853,8826735646679,8721780998435,8791371106473,8760099679092,9114976189955,8903385910811,8503938734148,7966459074548,8074718410465,8504760050268,9151700261002,8470929963692,8503057646509,8180465325953,8361332191488,9037696573913,8791796075156,8721350829636,8215558121787,8683667089154,8611443000816,8111936893237,8182494742015,9332897385888,8929696285756,8509595150985,8255197068377,7782161136726,8253229005667,9364501436681,7784918084075,8144617689097,7639816554659,8645359990753,8326412720022,8502975177167
家具,8110849894573,7691745009623,7788172559106,8470682954822,7428313305569,7494343274060,7950024679347,7855499393356,7918167641848,7890007964149,8209629853189,8019060503293,7659291683877,7175190656606,7272703282975,7660036252686,8242710647481,7629548570149,7658505423666,7367939918263,7530852553342,8140026047065,7918556836308,7855098787115,7399549075660,7821166997375,7756120818566,7306226357905,7369770806026,8405918320265,8042758683022,7664376454156,7435254405521,7009204434373,7433481999998,8434373016261,7011687890647,7335654333444,6880997855824,7786662551357,7499387657834,7658418520929
儿童课外读物,8279763883477,7851943257999,7950365884383,8647090488578,7583014458646,7650428222721,8115592552025,8019095822824,8083073169370,8054323316813,8380604883382,8186069339676,7818801872965,7324630495316,7424167757113,7819561442215,8414376977740,7788446247013,7817986876458,7521387975698,7687691790425,8309555535136,8083468730673,8018691519706,7553654259621,7984047911346,7917646313972,7458388484862,7523257998254,8580974359425,8210261651889,7824004667464,7590101496000,7155179919187,7588291766330,8610035030882,7157713936488,7488426764844,7024298707293,7948826316404,7655574612552,7817914327572
户外装备,7866384498670,7459915681113,7553434148497,8215371404294,7204418864812,7268461263061,7710407052216,7618730332964,7679512480124,7652202239239,7962191989047,7777366888262,7428442820325,6958929626417,7053499290848,7429153551096,7994269389887,7399595016894,7427665438013,7145869416685,7303870545862,7894687847050,7679889829842,7618342952290,7176528523684,7585435773042,7522343203310,7086013181213,7147640505106,8152552378769,7800345978314,7433370724815,7211149021542,6797940157983,7209429497585,8180162097917,6800349971822,7114551760224,6673599956860,7551966221094,7273359974246,7427596086060
玩具,7896953500427,7488911600748,7582789048523,8247304116448,7232419072442,7296711706439,7740374317694,7648335186866,7709360274268,7681935833290,7993134597512,7807593363454,7457310917095,6985978702273,7080912532485,7458023511209,8025341054512,7428352909621,7456527535710,7173643683800,7332253186279,7925369068111,7709733996152,7647954997921,7204415930352,7614913287718,7551578369041,7113551739066,7175422953825,8184238828176,7830662626708,7462264214876,7239175527415,6824360736869,7237448539582,8211954071463,6826779026553,7142204887511,6699535438383,7581316713664,7301625011691,7456460755202
健身器材,8351146345235,7919634265086,8018913073405,8721649488893,7648390915406,7716381679700,8185560531663,8088228754715,8152763326790,8123762042686,8452859608419,8256645569259,7886220415787,7387779001018,7488170325041,7886971126434,8486918186643,7855593628082,7885390129962,7586234729913,7753971407290,8381193795113,8153162116528,8087826183125,7618776763687,8052888955145,7985909117949,7522687788259,7588113592933,8654954121940,8281042047806,7891450366722,7655537088399,7216862660172,7653709402227,8684263973043,7219421959240,7552989511520,7084861918328,8017353551296,7721577505332,7885320065293
平板电脑,8142430368150,7721699461566,7818488678448,8503655543360,7457230162949,7523523693568,7980973969319,7886078653122,7948998770968,7920724174711,8241598756914,8050283777612,7689110532478,7203131732071,7301016105444,7689847068342,8274802432061,7659264942559,7688312987566,7396630522199,7560168964505,8171726838275,7949386002892,7885687765957,7428366130715,7851617354094,7786309943322,7334667439441,7398462641288,8438627970416,8074072166005,7694224794559,7464197161537,7036490958002,7462423406906,8467222382845,7038978304836,7364213662674,6907779494440,7816979409716,7528600887637,7688244588932
智能手表,8314445609678,7884823807363,7983664033495,8683308664567,7614773099439,7682462638647,8149582183150,8052680328725,8116926422603,8088057072564,8415707253217,8220351915251,7851549154152,7355307916953,7455256761583,7852306253919,8449616570615,7821067324300,7850736867101,7552891208842,7719887376071,8344355484887,8117320450896,8052278508054,7585290075531,8017486928311,7950806815720,7489621944139,7554760536158,8616913341915,8244644910016,7856771683037,7621885395843,7185145714081,7620074644684,8646093149102,7187684943983,7519791794552,7053715376998,7982123321246,7687643349747,7850663007097
饮料,8653317680733,8206193210151,8309053812738,9037213649789,7925130825980,7995581665643,8481739011432,8380889219575,8447751315703,8417703873085,8758706523604,8555399154070,8171565518553,7655086903060,7759118500944,8172347661135,8793997899665,8139830256502,8170709754225,7860725914375,8034531149090,8684454549053,8448165094632,8380462705545,7894452090690,8344260247436,8274860243811,7794883506272,7862679379172,8968113294826,8580677620335,8176994133271,7932534339673,7477993683603,7930645847744,8998491500899,7480639326114,7826273131514,7341205824610,8307447731131,8000968601928,8170634847849
蛋奶,7902232129169,7493915615786,7587861650534,8252821829914,7237256782033,7301588178672,7745551164162,7653450181802,7714513075334,7687076562178,7998478597401,7812814889967,7462298606339,6990646456059,7085644984849,7463009129848,8030705476051,7433314461445,7461514450620,7178442726343,7337157332046,7930665824520,7714888522049,7653068001482,7209230106717,7620005338049,7556625178057,7118306013683,7180220035691,8189716182202,7835895631293,7467250183620,7244014541974,6828923688475,7242285927066,8217440663494,6831344296324,7146979240343,6704017648248,7586385489387,7306502585311,7461445489989
游戏机,8417708208237,7982757038967,8082820234582,8791151125517,7709349065536,7777882326568,8250800587104,8152697788439,8217737632361,8188513778595,8520229720052,8322453415422,7949066291973,7446654283458,7547854372623,7949834500379,8554557441492,7918204409779,7948239031193,7646697940369,7815767269614,8447996614956,8218139590647,8152284685528,7679503603191,8117062314669,8049551390285,7582645075361,7648597051791,8723933852806,8347045240779,7954354970306,7716549629820,7274385110398,7714714228059,8753480290126,7276958780702,7613182693529,7141322862521,8081256599946,7783120575999,7948165850661
办公用品,7767419834641,7366069899517,7458407120427,8112022748926,7113784934535,7177024411356,7613406977746,7522880253950,7582900687131,7555930004668,7862024956437,7679521236619,7334987847007,6871384822888,6964764895810,7335689399315,7893697869492,7306509487892,7334221155589,7055975716439,7211980508765,7795367548467,7583275762825,7522506798252,7086242571671,7490010163382,7427710467001,6996865938651,7057722778304,8049990493374,7702217249449,7339854883897,7120431558697,6712419672330,7118732872002,8077256136675,6714799674760,7025051794111,6589645900626,7456956853480,7181854810228,7334154008769
