支付方式,商品类别,共现次数,支持度,置信度,提升度
现金,蛋奶,1329941,0.00985,0.06895,0.999
支付宝,蛋奶,1329405,0.00985,0.06894,0.999
支付宝,玩具,1329399,0.00985,0.06894,1.0
云闪付,蛋奶,1329183,0.00985,0.06892,0.999
银联,玩具,1329148,0.00985,0.06891,0.999
云闪付,玩具,1328975,0.00984,0.06891,0.999
云闪付,户外装备,1326844,0.00983,0.0688,1.002
现金,户外装备,1325353,0.00982,0.06872,1.0
支付宝,户外装备,1324744,0.00981,0.0687,1.0
微信支付,户外装备,1324611,0.00981,0.06869,1.0
信用卡,户外装备,1324282,0.00981,0.06868,1.0
储蓄卡,户外装备,1324064,0.00981,0.06864,0.999
银联,户外装备,1322763,0.0098,0.06858,0.998
支付宝,汽车装饰,1320552,0.00978,0.06848,1.001
银联,汽车装饰,1320563,0.00978,0.06846,1.001
微信支付,厨具,1319838,0.00978,0.06844,1.001
微信支付,汽车装饰,1319764,0.00978,0.06844,1.0
现金,厨具,1319718,0.00978,0.06842,1.001
储蓄卡,汽车装饰,1319601,0.00977,0.06841,1.0
储蓄卡,厨具,1319574,0.00977,0.06841,1.0
现金,汽车装饰,1319339,0.00977,0.0684,1.0
云闪付,厨具,1318891,0.00977,0.06839,1.0
银联,厨具,1319103,0.00977,0.06839,1.0
云闪付,汽车装饰,1318194,0.00976,0.06835,0.999
支付宝,厨具,1317744,0.00976,0.06834,0.999
信用卡,厨具,1317687,0.00976,0.06833,0.999
信用卡,汽车装饰,1316914,0.00975,0.06829,0.998
云闪付,上衣,1316153,0.00975,0.06825,1.002
银联,上衣,1313690,0.00973,0.06811,1.0
储蓄卡,上衣,1313330,0.00973,0.06809,1.0
现金,上衣,1313052,0.00973,0.06808,1.0
支付宝,上衣,1312613,0.00972,0.06807,1.0
信用卡,上衣,1312056,0.00972,0.06804,0.999
微信支付,上衣,1311637,0.00972,0.06802,0.999
银联,办公用品,1309158,0.0097,0.06787,1.001
现金,办公用品,1308936,0.0097,0.06786,1.001
储蓄卡,办公用品,1308973,0.0097,0.06786,1.001
支付宝,办公用品,1307981,0.00969,0.06783,1.0
信用卡,办公用品,1307433,0.00968,0.0678,1.0
云闪付,办公用品,1307097,0.00968,0.06778,0.999
微信支付,办公用品,1305901,0.00967,0.06772,0.999
云闪付,水产,1304293,0.00966,0.06763,1.002
信用卡,水产,1303095,0.00965,0.06758,1.001
储蓄卡,水产,1302858,0.00965,0.06754,1.001
支付宝,水产,1301727,0.00964,0.06751,1.0
微信支付,水产,1301217,0.00964,0.06748,1.0
现金,水产,1300024,0.00963,0.0674,0.998
银联,水产,1299919,0.00963,0.06739,0.998
现金,调味品,1285805,0.00952,0.06667,1.001
信用卡,调味品,1285492,0.00952,0.06666,1.001
云闪付,调味品,1285252,0.00952,0.06664,1.001
支付宝,调味品,1283703,0.00951,0.06657,1.0
储蓄卡,调味品,1283891,0.00951,0.06656,0.999
微信支付,调味品,1283598,0.00951,0.06656,0.999
银联,调味品,1283544,0.00951,0.06654,0.999
微信支付,音响,1256224,0.00931,0.06514,1.001
储蓄卡,音响,1256373,0.00931,0.06514,1.001
现金,鞋子,1256047,0.0093,0.06512,1.001
信用卡,鞋子,1255661,0.0093,0.06512,1.001
云闪付,鞋子,1255317,0.0093,0.06509,1.0
支付宝,鞋子,1255162,0.0093,0.06509,1.0
储蓄卡,鞋子,1255087,0.0093,0.06507,1.0
微信支付,鞋子,1254769,0.00929,0.06507,1.0
云闪付,音响,1254615,0.00929,0.06506,1.0
支付宝,音响,1254589,0.00929,0.06506,1.0
现金,音响,1254413,0.00929,0.06504,1.0
信用卡,音响,1253951,0.00929,0.06503,1.0
银联,鞋子,1254202,0.00929,0.06502,0.999
银联,音响,1252871,0.00928,0.06495,0.998
云闪付,摄像机,1232682,0.00913,0.06392,1.001
微信支付,摄像机,1232277,0.00913,0.0639,1.0
现金,摄像机,1232210,0.00913,0.06389,1.0
信用卡,摄像机,1231555,0.00912,0.06387,1.0
银联,摄像机,1231714,0.00912,0.06386,1.0
支付宝,摄像机,1230984,0.00912,0.06384,0.999
储蓄卡,摄像机,1231293,0.00912,0.06383,0.999
